,Ozone,Solar.R,Wind,Month,Day,Year,Temp,Weather
65,NA,101,10.9,7,4,2010,84,S
66,64,175,4.6,7,5,2010,83,S
67,40,314,10.9,7,6,2010,83,C
68,77,276,5.1,7,7,2010,88,C
69,97,267,6.3,7,8,2010,92,PS
70,97,272,5.7,7,9,2010,92,C
71,85,175,7.4,7,10,2010,89,PS
72,NA,139,8.6,7,11,2010,82,S
73,10,264,14.3,7,12,2010,73,S
74,27,175,14.9,7,13,2010,81,S
75,NA,291,14.9,7,14,2010,91,C
76,7,48,14.3,7,15,2010,80,PS
77,48,260,6.9,7,16,2010,81,S
78,35,274,10.3,7,17,2010,82,S
79,61,285,6.3,7,18,2010,84,C
80,79,187,5.1,7,19,2010,87,PS
81,63,220,11.5,7,20,2010,85,C
82,16,7,6.9,7,21,2010,74,S
83,NA,258,9.7,7,22,2010,81,S
84,NA,295,11.5,7,23,2010,82,C
85,80,294,8.6,7,24,2010,86,PS
86,108,223,8,7,25,2010,85,PS
87,20,81,8.6,7,26,2010,82,C
88,52,82,12,7,27,2010,86,
89,82,213,7.4,7,28,2010,88,S
90,50,275,7.4,7,29,2010,86,C
91,64,253,7.4,7,30,2010,83,PS
92,59,254,9.2,7,31,2010,81,C
93,39,83,6.9,8,1,2010,81,PS
94,9,24,13.8,8,2,2010,81,
95,16,77,7.4,8,3,2010,82,PS
96,78,NA,6.9,8,4,2010,86,
97,35,NA,7.4,8,5,2010,85,S
98,66,NA,4.6,8,6,2010,87,C
99,122,255,4,8,7,2010,89,C
100,89,229,10.3,8,8,2010,90,PS
101,110,207,8,8,9,2010,90,C
102,NA,222,8.6,8,10,2010,92,PS
103,NA,137,11.5,8,11,2010,86,S
104,44,192,11.5,8,12,2010,86,S
105,28,273,11.5,8,13,2010,82,S
106,65,157,9.7,8,14,2010,80,C
107,NA,64,11.5,8,15,2010,79,C
108,22,71,10.3,8,16,2010,77,C
109,59,51,6.3,8,17,2010,79,PS
110,23,115,7.4,8,18,2010,76,C
111,31,244,10.9,8,19,2010,78,PS
112,44,190,10.3,8,20,2010,78,S
113,21,259,15.5,8,21,2010,77,S
114,9,36,14.3,8,22,2010,72,C
115,NA,255,12.6,8,23,2010,75,PS
116,45,212,9.7,8,24,2010,79,C
117,168,238,3.4,8,25,2010,81,PS
118,73,215,8,8,26,2010,86,S
119,NA,153,5.7,8,27,2010,88,S
120,76,203,9.7,8,28,2010,97,S
121,118,225,2.3,8,29,2010,94,S
122,84,237,6.3,8,30,2010,96,S
123,85,188,6.3,8,31,2010,94,C
124,96,167,6.9,9,1,2010,91,C
125,78,197,5.1,9,2,2010,92,PS
126,73,183,2.8,9,3,2010,93,C
127,91,189,4.6,9,4,2010,93,PS
128,47,95,7.4,9,5,2010,87,S
129,32,92,15.5,9,6,2010,84,S
130,20,252,10.9,9,7,2010,80,S
131,23,220,10.3,9,8,2010,78,C
132,21,230,10.9,9,9,2010,75,PS
133,24,259,9.7,9,10,2010,73,C
134,44,236,14.9,9,11,2010,81,PS
135,21,259,15.5,9,12,2010,76,S
136,28,238,6.3,9,13,2010,77,S
137,9,24,10.9,9,14,2010,71,PS
138,13,112,11.5,9,15,2010,71,PS
139,46,237,6.9,9,16,2010,78,S
140,18,224,13.8,9,17,2010,67,PS
141,13,27,10.3,9,18,2010,76,S
142,24,238,10.3,9,19,2010,68,C
143,16,201,8,9,20,2010,82,PS
144,13,238,12.6,9,21,2010,64,PS
145,23,14,9.2,9,22,2010,71,S
146,36,139,10.3,9,23,2010,81,S
147,7,49,10.3,9,24,2010,69,C
148,14,20,16.6,9,25,2010,63,PS
149,30,193,6.9,9,26,2010,70,C
150,NA,145,13.2,9,27,2010,77,PS
151,14,191,14.3,9,28,2010,75,S
152,18,131,8,9,29,2010,76,PS
153,20,223,11.5,9,30,2010,68,S
154,41,190,7.4,5,1,2010,67,C
155,30,193,6.9,9,26,2010,70,PS
156,NA,145,13.2,9,27,2010,77,S
157,14,191,14.3,9,28,2010,75,S
158,18,131,8,9,29,2010,76,C
